C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.10CEST06:15:14

Vmag < 6 & maintypes='*'
------------------------

Number of objects : 5056

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
111 ;HD 193092                          ;*  ;20 16 55.2856987776 +40 21 54.273252420;   2.245 -2.139     ;1.7177    ;-20.09     ;-0.000067   ;-20.09     ;     ~   ;6.871    ;5.236    ;     ~   ;4.632300 ;K3IIIaFe-1           
112 ;HD 193322                          ;** ;20 18 06.98820 +40 43 55.5001          ;    -2.33 -6.16     ;1.68      ;-8.40      ;-0.000028   ;-8.40      ;5.17     ;5.94     ;5.84     ;5.69     ;     ~   ;O9IV(n)+B1.5V        
113 ;* alf Cyg                          ;sg*;20 41 25.91514 +45 16 49.2197          ;      2.01 1.85     ;2.31      ;-4.90      ;-0.000016   ;-4.90      ;1.11     ;1.34     ;1.25     ;1.14     ;     ~   ;A2Ia                 
114 ;HD 198345                          ;*  ;20 47 49.2864749208 +47 49 54.724960056; -8.721 -18.283     ;5.7977    ;-32.35     ;-0.000108   ;-32.35     ;     ~   ;7.060    ;5.586    ;     ~   ;5.067395 ;K5III                
115 ;* 55 Cyg                           ;s*b;20 48 56.2915921440 +46 06 50.883645024;  -2.233 -2.516     ;0.5435    ;-7.2       ;-0.000024   ;-7.20      ;4.83     ;5.28     ;4.86     ;4.41     ;4.673104 ;B2.5Ia               
116 ;HD 199612                          ;SB*;20 56 25.8955286856 +49 11 44.992296924;  14.134 12.940     ;3.3383    ;-26.53     ;-0.000088   ;-26.53     ;     ~   ;6.963    ;5.913    ;     ~   ;5.635965 ;G8II-III             
117 ;* f02 Cyg                          ;*  ;21 06 36.0934336570 +47 38 54.252204111;   6.076 -1.863     ;2.5324    ;-26.32     ;-0.000088   ;-26.32     ;     ~   ;6.079    ;4.514    ;     ~   ;3.965598 ;K4Ib-IIa             
118 ;* f01 Cyg                          ;Be*;20 59 49.5541247496 +47 31 15.363746436;    7.857 4.065     ;1.4681    ;1.40       ;0.000005    ;1.40       ;3.77     ;4.71     ;4.75     ;4.62     ;4.549879 ;B1.5Vnne             
119 ;HD 199478                          ;s*b;20 55 49.8039729168 +47 25 03.564093468;  -2.199 -4.095     ;0.3915    ;-15.00     ;-0.000050   ;-15.00     ;5.79     ;6.12     ;5.64     ;5.16     ;5.531616 ;B7Ia                 
120 ;HD 203245                          ;Pu*;21 19 28.7504447592 +49 30 37.060318296;   14.398 2.137     ;5.8906    ;-23.00     ;-0.000077   ;-23.00     ;5.11     ;5.61     ;5.74     ;     ~   ;5.729797 ;B6V                  
121 ;HD 203644                          ;PM*;21 22 00.4181510352 +49 23 19.850097156;  37.404 61.142     ;10.4924   ;-4.33      ;-0.000014   ;-4.33      ;     ~   ;6.768    ;5.671    ;     ~   ;5.384253 ;K0III                
122 ;* pi.01 Cyg                        ;SB*;21 42 05.6606598980 +51 11 22.659654515;   4.934 -3.583     ;2.2726    ;-8.20      ;-0.000027   ;-8.20      ;3.86     ;4.55     ;4.66     ;     ~   ;4.642398 ;B3III                
123 ;HD 209419                          ;*  ;22 01 50.5866647688 +52 52 56.100144360;   10.376 2.152     ;2.9856    ;-16.23     ;-0.000054   ;-16.23     ;5.14     ;5.658    ;5.776    ;     ~   ;5.760108 ;B5III                
124 ;V* V416 Lac                        ;LP*;22 38 37.9233049091 +56 47 44.277881218; 52.754 -31.869     ;7.2234    ;6.77       ;0.000023    ;6.77       ;     ~   ;6.684    ;5.167    ;     ~   ;3.861995 ;M4+III               
125 ;HD 213930                          ;PM*;22 33 40.6494305424 +56 37 29.055508932;  78.194 41.393     ;9.4506    ;-7.863050  ;-0.000026   ;-7.86      ;     ~   ;6.686    ;5.720    ;     ~   ;5.470336 ;K0III                
126 ;HD 216174                          ;PM*;22 49 46.3147714872 +55 54 09.996118956;  82.605 37.823     ;8.2924    ;-33.14     ;-0.000111   ;-33.14     ;     ~   ;6.598    ;5.439    ;     ~   ;5.064219 ;K1III                
127 ;V* V509 Cas                        ;LP*;23 00 05.1012218544 +56 56 43.350876312;  -3.013 -2.213     ;0.2507    ;-50.20     ;-0.000167   ;-50.20     ;8.01     ;6.68     ;5.13     ;3.96     ;4.999452 ;G4_0                 
128 ;HD 219134                          ;PM*;23 13 16.9749603608 +57 10 06.083823619;2074.414 294.452    ;152.8640  ;-18.475    ;-0.000062   ;-18.47     ;7.460    ;6.560    ;5.570    ;4.76     ;5.231896 ;K3V                  
129 ;V* AR Cas                          ;SB*;23 30 01.9406369832 +58 32 56.112185112;   17.957 4.441     ;4.8857    ;-15.9      ;-0.000053   ;-15.90     ;4.18     ;4.760    ;4.886    ;     ~   ;4.858418 ;B3V                  
130 ;* tau Cas                          ;PM*;23 47 03.4543856136 +58 39 07.167728628;  60.379 56.828     ;18.7789   ;-20.005400 ;-0.000067   ;-20.00     ;     ~   ;5.993    ;4.873    ;     ~   ;4.569079 ;K1-IIIa              
131 ;HD 223173                          ;*  ;23 47 01.9184555184 +57 27 04.892546304;   3.264 -7.280     ;2.0215    ;-7.54      ;-0.000025   ;-7.54      ;     ~   ;7.149    ;5.503    ;     ~   ;4.905139 ;K3-IIb               
132 ;* rho Cas                          ;LP*;23 54 23.0325302520 +57 29 57.774737400;  -4.699 -3.112     ;0.9470    ;-55.15     ;-0.000184   ;-55.14     ;7.00     ;5.85     ;4.59     ;3.63     ;4.050132 ;G2_0                 
133 ;* alf Cas                          ;PM*;00 40 30.4430418459 +56 32 14.385181354; 49.126 -31.595     ;14.0910   ;-4.204     ;-0.000014   ;-4.20      ;4.52     ;3.40     ;2.23     ;1.45     ;1.942524 ;K0-IIIa              
134 ;* eta Cas                          ;PM*;00 49 06.2945942922 +57 48 54.638239716;1078.609 -551.133   ;168.8322  ;8.404      ;0.000028    ;8.40       ;4.04     ;4.02     ;3.44     ;2.94     ;3.320067 ;F9V                  
135 ;* tet Cas                          ;PM*;01 11 06.1620929203 +55 08 59.638991981;226.056 -19.541     ;23.8844   ;2.50       ;0.000008    ;2.50       ;4.630    ;4.510    ;4.330    ;4.16     ;4.288004 ;A7V                  
136 ;* 1 Per                            ;SB*;01 51 59.3200840608 +55 08 50.583693732;  12.716 -8.410     ;2.6944    ;-5.40      ;-0.000018   ;-5.40      ;4.51     ;5.34     ;5.52     ;     ~   ;5.490368 ;B1.5V                
137 ;* g Per                            ;*  ;02 02 18.1084057296 +54 29 15.145135980;  34.245 -2.924     ;4.0763    ;3.66       ;0.000012    ;3.66       ;4.64     ;4.96     ;5.04     ;5.01     ;4.963405 ;B8III                
138 ;* tet Per                          ;PM*;02 44 11.9866154103 +49 13 42.414669174;334.708 -89.251     ;89.6850   ;24.394     ;0.000081    ;24.39      ;4.62     ;4.62     ;4.11     ;3.67     ;3.983001 ;F8V                  
139 ;HD 18474                           ;*  ;02 59 49.7897133000 +47 13 14.567181096;  11.942 19.877     ;6.5326    ;2.62       ;0.000009    ;2.62       ;     ~   ;6.348    ;5.485    ;     ~   ;5.203191 ;G5:III:CN-3CH-2Hdel-1
140 ;* nu. Per                          ;*  ;03 45 11.6327358410 +42 34 42.709540671;  -15.116 2.461     ;5.4766    ;-12.10     ;-0.000040   ;-12.10     ;4.50     ;4.22     ;3.80     ;3.40     ;3.663778 ;F4II                 
141 ;HD 192985                          ;PM*;20 16 00.6155322192 +45 34 46.290085536;  9.908 -54.841     ;29.2845   ;-44.385    ;-0.000148   ;-44.38     ;     ~   ;6.281    ;5.864    ;     ~   ;5.765058 ;F5V:                 
142 ;HD 194152                          ;SB*;20 22 05.3676486336 +45 47 41.997669324;  24.387 37.544     ;7.5785    ;-24.56     ;-0.000082   ;-24.56     ;     ~   ;6.653    ;5.572    ;     ~   ;5.290573 ;K1III                
143 ;V* V2015 Cyg                       ;a2*;20 33 54.8435604456 +46 41 37.867484940;   15.479 5.003     ;5.9464    ;-21.7      ;-0.000072   ;-21.70     ;     ~   ;5.626    ;5.769    ;     ~   ;5.739681 ;B8pSi                
144 ;* 51 Cyg                           ;*  ;20 42 12.6305206584 +50 20 24.066965544;    2.629 3.946     ;2.6729    ;-4.70      ;-0.000016   ;-4.70      ;4.64     ;5.286    ;5.401    ;     ~   ;5.377267 ;B2V                  
145 ;HD 199611                          ;*  ;20 56 25.4774838120 +50 43 42.948296868; 35.354 -22.298     ;19.4264   ;-9.48      ;-0.000032   ;-9.48      ;     ~   ;6.157    ;5.820    ;     ~   ;5.753169 ;F0III                
146 ;HD 199955                          ;** ;20 58 30.03385 +50 27 42.4409          ;      8.89 2.54     ;3.02      ;-6.168610  ;-0.000021   ;-6.17      ;     ~   ;5.77     ;5.90     ;6.84     ;     ~   ;B7IVn+B7IV           
147 ;HD 200817                          ;SB*;21 03 47.6224016568 +53 17 09.282047244;  44.869 26.591     ;7.0884    ;-17.84     ;-0.000060   ;-17.84     ;     ~   ;6.927    ;5.918    ;     ~   ;5.685782 ;K0III                
148 ;HD 201834                          ;*  ;21 10 15.5733223584 +53 33 47.162825784;  22.388 -3.628     ;7.135     ;-21.4      ;-0.000071   ;-21.40     ;     ~   ;5.630    ;5.747    ;     ~   ;5.724093 ;B9III                
149 ;HD 204428                          ;*  ;21 26 44.9697592824 +52 53 54.730425048;   15.480 4.697     ;6.2053    ;-30.30     ;-0.000101   ;-30.30     ;     ~   ;5.873    ;5.987    ;     ~   ;5.985976 ;B7III                
150 ;HD 208095                          ;Ce*;21 52 01.0393576752 +55 47 48.298534764;   16.795 1.766     ;5.1169    ;-6.5       ;-0.000022   ;-6.50      ;5.11     ;5.550    ;5.657    ;     ~   ;5.684506 ;B6IV-V               
151 ;* 13 Cep                           ;s*b;21 54 53.1538880928 +56 36 40.415024952;  -3.825 -2.638     ;0.9126    ;-20.40     ;-0.000068   ;-20.40     ;6.50     ;6.52     ;5.80     ;5.12     ;5.498587 ;B7Iab                
152 ;* 14 Cep                           ;SB*;22 02 04.5726270264 +58 00 01.309758516;  -3.096 -2.611     ;0.907     ;-11.33     ;-0.000038   ;-11.33     ;4.77     ;5.551    ;5.542    ;     ~   ;5.481440 ;O9IV(n)var+B1:V:     
153 ;* zet Cep                          ;s*r;22 10 51.2777055617 +58 12 04.542602641;   13.359 5.275     ;3.2972    ;-17.83     ;-0.000059   ;-17.83     ;6.62     ;4.90     ;3.35     ;2.27     ;2.870138 ;K1.5Ib               
154 ;HD 211554                          ;*  ;22 16 26.5631295408 +57 13 12.857307492;   47.092 5.013     ;5.2856    ;-7.96      ;-0.000027   ;-7.96      ;     ~   ;6.832    ;5.882    ;     ~   ;5.656164 ;G8III                
155 ;* del Cep                          ;cC*;22 29 10.2626640314 +58 24 54.697613650;   14.560 3.238     ;3.5551    ;-21.1548   ;-0.000071   ;-21.15     ;4.71     ;4.35     ;3.75     ;     ~   ;3.850600 ;F5Iab:+B7-8          
156 ;HD 216595                          ;*  ;22 53 03.7845125472 +60 06 03.711574080;   12.341 3.365     ;1.9819    ;-7.04      ;-0.000023   ;-7.04      ;     ~   ;7.716    ;5.984    ;     ~   ;5.315257 ;K2V:                 
157 ;* 1 Cas                            ;*  ;23 06 36.8177774777 +59 25 11.135356051;   5.882 -2.524     ;2.2684    ;-9.10      ;-0.000030   ;-9.10      ;3.93     ;4.771    ;4.840    ;     ~   ;4.791771 ;B0.5III              
158 ;* 2 Cas                            ;*  ;23 09 44.1389006784 +59 19 57.687059136;    0.335 0.552     ;1.19      ;-12.0      ;-0.000040   ;-12.00     ;6.33     ;5.977    ;5.679    ;     ~   ;5.578588 ;A4II                 
159 ;HD 220369                          ;*  ;23 22 32.5327535256 +60 08 00.552165504;   6.564 -1.308     ;2.1569    ;-11.07     ;-0.000037   ;-11.07     ;     ~   ;7.189    ;5.513    ;     ~   ;4.902360 ;K3II                 
160 ;* bet Cas                          ;dS*;00 09 10.68518 +59 08 59.2120          ; 523.50 -179.77     ;59.58     ;4.30       ;0.000014    ;4.30       ;2.73     ;2.61     ;2.27     ;1.97     ;2.232691 ;F2III                
161 ;HD 1239                            ;*  ;00 16 57.0431385504 +61 31 59.468659896;  -6.429 -3.465     ;4.8081    ;-1.75      ;-0.000006   ;-1.75      ;     ~   ;6.634    ;5.737    ;     ~   ;5.504710 ;G8III                
162 ;V* V567 Cas                        ;a2*;00 05 06.1508805192 +61 18 50.292327564;   14.981 2.054     ;4.7337    ;0.11       ;0.000000    ;0.11       ;     ~   ;5.710    ;5.791    ;     ~   ;5.775652 ;B6III                
163 ;HD 224893                          ;*  ;00 01 37.0160378616 +61 13 22.079486208;   -1.765 0.027     ;1.3825    ;-23.2      ;-0.000077   ;-23.20     ;6.36     ;5.966    ;5.567    ;     ~   ;5.453592 ;A8II                 
164 ;HD 3283                            ;*  ;00 36 27.3446327760 +60 19 34.367545740;   2.303 -1.662     ;1.0737    ;-8.5       ;-0.000028   ;-8.50      ;6.24     ;6.053    ;5.792    ;     ~   ;5.701983 ;A3III                
165 ;HD 2626                            ;** ;00 30 19.9344223392 +59 58 39.189476856;  13.798 -5.049     ;3.2021    ;-17.4      ;-0.000058   ;-17.40     ;5.59     ;5.95     ;5.94     ;     ~   ;5.942178 ;B7IV                 
166 ;HD 5015                            ;PM*;00 53 04.1964421920 +61 07 26.299289856;-68.298 169.435     ;52.9017   ;20.682     ;0.000069    ;20.68      ;5.43     ;5.34     ;4.80     ;4.32     ;4.635912 ;F9V                  
167 ;HD 5408                            ;** ;00 56 46.97166 +60 21 46.2192          ;    26.13 -3.79     ;6.06      ;-8.70      ;-0.000029   ;-8.70      ;     ~   ;5.500    ;5.566    ;     ~   ;5.967921 ;B7Vn+B9VHgMn+A1V     
168 ;* ups01 Cas                        ;PM*;00 55 00.1557027792 +58 58 21.717145956;-31.200 -44.986     ;9.062     ;-22.36     ;-0.000075   ;-22.36     ;     ~   ;6.042    ;4.820    ;     ~   ;4.458980 ;K2III                
169 ;* ups02 Cas                        ;Pe*;00 56 39.9051464088 +59 10 51.805287084;-92.611 -45.397     ;16.6465   ;-47.941    ;-0.000160   ;-47.94     ;     ~   ;5.581    ;4.622    ;     ~   ;4.345562 ;G8.5IIIbFe-0.5       
170 ;* gam Cas                          ;HXB;00 56 42.5310945 +60 43 00.264089      ;    25.17 -3.92     ;5.94      ;-6.8       ;-0.000023   ;-6.80      ;1.18     ;2.29     ;2.39     ;2.32     ;2.064583 ;B0.5IVpe             
171 ;HD 6676                            ;*  ;01 08 33.4662629952 +58 15 48.425007852; 18.009 -13.163     ;4.1778    ;-0.93      ;-0.000003   ;-0.93      ;     ~   ;5.744    ;5.767    ;     ~   ;5.746417 ;B8V                  
172 ;* chi Cas                          ;*  ;01 33 55.8814773504 +59 13 55.394091516;-44.188 -18.538     ;16.2553   ;7.0270     ;0.000023    ;7.03       ;     ~   ;5.675    ;4.681    ;     ~   ;4.407999 ;G9IIIb               
173 ;HD 9353                            ;** ;01 33 25.7075838384 +58 19 38.449163964;   5.674 -8.047     ;1.7207    ;-9.51      ;-0.000032   ;-9.51      ;     ~   ;7.153    ;5.709    ;     ~   ;5.076425 ;K3Ib-II+B7/8:        
174 ;* phi Cas                          ;s*y;01 20 04.9164665856 +58 13 53.807643876;  -1.479 -1.231     ;0.2142    ;-18.90     ;-0.000063   ;-18.90     ;6.15     ;5.66     ;4.98     ;4.34     ;4.736113 ;F0Ia                 
175 ;HD 9900                            ;*  ;01 38 07.5665016360 +57 58 39.475310304;   2.988 -6.424     ;2.4121    ;-10.49     ;-0.000035   ;-10.49     ;     ~   ;6.921    ;5.536    ;     ~   ;5.102050 ;K0II_CN+2            
176 ;* i Per                            ;sg*;02 22 21.4343107056 +55 50 44.350353276;   0.640 -1.692     ;0.7852    ;-18.7      ;-0.000062   ;-18.70     ;5.43     ;5.54     ;5.17     ;4.79     ;5.057103 ;A1Ia                 
177 ;HD 16735                           ;PM*;02 42 59.5232301744 +53 31 33.986370504; 57.121 -31.398     ;10.1045   ;-13.296000 ;-0.000044   ;-13.30     ;     ~   ;6.987    ;5.835    ;     ~   ;5.546828 ;G8III                
178 ;* tau Per                          ;SB*;02 54 15.4777208304 +52 45 44.882735292;  -8.311 -2.580     ;12.3726   ;9.83       ;0.000033    ;9.83       ;5.17     ;4.71     ;3.96     ;3.33     ;3.707698 ;G8III+A7V            
179 ;HD 18537                           ;Pu*;03 00 52.2110264304 +52 21 06.248122308; 28.383 -25.329     ;6.6753    ;-4.30      ;-0.000014   ;-4.30      ;4.78     ;5.158    ;5.219    ;     ~   ;5.246113 ;B7V                  
180 ;* 29 Per                           ;Pu*;03 18 37.7416927200 +50 13 19.834697676; 23.008 -24.435     ;5.5326    ;-1.50      ;-0.000005   ;-1.50      ;6.232    ;5.074    ;5.157    ;     ~   ;5.124061 ;B3V                  
181 ;* 31 Per                           ;Pu*;03 19 07.6392847536 +50 05 41.889763428; 22.756 -24.446     ;5.7653    ;-1.60      ;-0.000005   ;-1.60      ;4.44     ;4.962    ;5.032    ;     ~   ;5.009382 ;B5V                  
182 ;* sig Per                          ;*  ;03 30 34.4853660216 +47 59 42.778854240;   3.954 18.968     ;9.506     ;14.36      ;0.000048    ;14.36      ;7.25     ;5.71     ;4.36     ;     ~   ;3.867585 ;K3-III               
183 ;HD 21551                           ;Pu*;03 30 36.9521337744 +48 06 12.973490460; 21.285 -26.856     ;5.6158    ;7.23       ;0.000024    ;7.23       ;5.46     ;5.78     ;5.82     ;     ~   ;5.806673 ;B8V                  
184 ;HD 21699                           ;Pu*;03 32 08.6084197968 +48 01 24.528548676; 18.314 -28.723     ;5.6378    ;2.60       ;0.000009    ;2.60       ;4.81     ;5.355    ;5.461    ;     ~   ;5.425504 ;B9III                
185 ;HD 19845                           ;*  ;03 13 23.8723102200 +48 10 37.040462112; 16.461 -17.775     ;9.9204    ;-10.83     ;-0.000036   ;-10.83     ;     ~   ;6.915    ;5.913    ;     ~   ;5.678236 ;K0III                
186 ;HD 20809                           ;*  ;03 23 13.1970566400 +49 12 47.774817972; 22.060 -24.959     ;5.6817    ;-0.50      ;-0.000002   ;-0.50      ;     ~   ;5.23     ;5.30     ;     ~   ;5.297275 ;B5V                  
187 ;Cl Melotte 20 772                  ;*  ;03 27 58.9118912976 +49 01 10.301866968;   0.240 -1.956     ;0.4559    ;~          ;~           ;~          ;     ~   ;     ~   ;4.989    ;     ~   ;11.469093;~                    
188 ;* 36 Per                           ;PM*;03 32 26.2592647368 +46 03 24.701606568;-53.125 -74.830     ;27.0579   ;-49.0      ;-0.000163   ;-49.00     ;5.71     ;5.73     ;5.32     ;4.91     ;5.192072 ;F6III                
189 ;HD 23300                           ;*  ;03 45 59.2599323352 +45 40 54.837597144; 22.002 -18.691     ;4.6643    ;2.2        ;0.000007    ;2.20       ;     ~   ;5.565    ;5.655    ;     ~   ;5.631493 ;B6V                  
190 ;HD 23838                           ;SB*;03 50 04.4251512960 +44 58 04.328639760;-40.641 -31.372     ;11.1856   ;18.40      ;0.000061    ;18.40      ;     ~   ;6.417    ;5.657    ;     ~   ;5.431451 ;G7III+F0IV:          
191 ;V* V376 Per                        ;dS*;03 49 08.1097674384 +43 57 47.301643260;  -3.453 11.469     ;14.6959   ;-11.10     ;-0.000037   ;-11.10     ;6.290    ;6.230    ;5.970    ;     ~   ;5.913298 ;A9IV                 
192 ;HD 189684                          ;** ;19 59 20.4240504504 +45 46 21.149697252;  9.326 -18.723     ;7.5925    ;6.40       ;0.000021    ;6.40       ;     ~   ;6.094    ;5.933    ;     ~   ;5.951049 ;A5III                
193 ;* 30 Cyg                           ;*  ;20 13 18.0538639656 +46 48 56.430951948;  13.597 -1.396     ;5.1207    ;-26.00     ;-0.000087   ;-26.00     ;     ~   ;4.911    ;4.819    ;     ~   ;4.779923 ;A5IIIn               
194 ;* omi02 Cyg                        ;SB*;20 15 28.3242122880 +47 42 51.213932496;   0.180 -2.319     ;3.2558    ;-14.4      ;-0.000048   ;-14.40     ;6.54     ;5.50     ;3.98     ;2.78     ;3.317127 ;K7Ib-II+B1V          
195 ;* 43 Cyg                           ;gD*;20 27 02.2674936096 +49 23 00.104394552;  68.774 56.819     ;25.6035   ;-20.0      ;-0.000067   ;-20.00     ;     ~   ;6.024    ;5.715    ;     ~   ;5.645087 ;F0V:                 
196 ;* ome01 Cyg                        ;Pu*;20 30 03.5409459288 +48 57 05.640569208;   10.058 6.873     ;2.5459    ;-21.90     ;-0.000073   ;-21.90     ;4.23     ;4.835    ;4.936    ;     ~   ;4.894649 ;B2.5IV               
197 ;* ome02 Cyg                        ;*  ;20 31 18.8165476392 +49 13 13.063792944;  8.959 -32.092     ;7.1833    ;-64.15     ;-0.000214   ;-64.14     ;8.91     ;6.99     ;5.44     ;     ~   ;4.657627 ;M2III                
198 ;V* U Cyg                           ;C* ;20 19 36.5946317760 +47 53 39.096681828;   -2.081 2.416     ;1.2992    ;10.0       ;0.000033    ;10.00      ;     ~   ;11.85    ;5.90     ;7.09     ;8.026915 ;C9,2e                
199 ;HD 202987                          ;*  ;21 17 14.2473299064 +55 47 52.805982876;  16.822 13.546     ;2.6343    ;-21.478701 ;-0.000072   ;-21.48     ;     ~   ;7.430    ;5.975    ;     ~   ;5.504082 ;K3III                
